UNTERNEHMEN;STRASSE;PLZ;ORT;GUETERVERKEHR;PERSONENVERKEHR
LoConnect GmbH;Kranhaus 1, Im Zollhafen 18;50678;Köln;Ja;Ja
Lokalbahn Betriebsgesellschaft mbH (LAG);Bahnhof 1;89547;Gerstetten;Nein;Ja
Lokomotion Gesellschaft für Schienentraktion mbH;Kastenbauerstraße 2;81677;München;Ja;Ja
Lok-Partner Betriebsgesellschaft mbH & Co. KG;Müllensiefenring 14;58455;Witten;Ja;Ja
Lotos Kolej Sp.z.o.o.;ul. Michalki 25;PL- 80-716;Danzig;Ja;Nein
LTE Germany GmbH;Rothenditmolder Straße 24;34117;Kassel;Ja;Nein
LTE Logistik- und Transport- GmbH;Karlauer Gürtel 1;A- 8020;Graz;Ja;Nein
LTE Netherlands B.V.;Moezelweg 180;3198 LS;Rotterdam;Ja;Ja
LUTRA, Lager, Umschlag und Transport, Mittelbrandenburgische Hafengesellschaft mit beschränkter Haftung;Hafenstraße 18;15711;Königs Wusterhausen;Ja;Nein
LWC Lappwaldbahn Cargo GmbH;Hamburger Straße 273 b;38114;Braunschweig;Ja;Nein
Magdeburger Hafen GmbH;Saalestraße 20;39126;Magdeburg;Ja;Nein
MaLoWa Bahnwerkstatt GmbH;Hauptstraße 10;06308;Benndorf;Nein;Nein
Mansfelder Bergwerksbahn e.V.;Hauptstraße 15;06308;Benndorf;Ja;Ja
Märkische Dienstleistungsservice GmbH;Thaerstraße 6;14469;Potsdam;Ja;Nein
Märkische Museums-Eisenbahn e.V. (MME);Postf 13 46;58813;Plettenberg;Nein;Ja
Mecklenburgische Bäderbahn Molli GmbH;Am Bahnhof;18209;Bad Doberan;Ja;Ja
Mecklenburg-Pommersche Schmalspurbahn-Freunde e.V.;Dorfstraße 6b;17099;Schwichtenberg;Nein;Nein
